event_name,casualties,wounded,killed,city,state,location_type,rifles,shotguns,handguns,explosives,date_time,shooter_age,shooter_gender
Renown Regional Medical Center,3,2,1,Reno,Nevada,Health Care,0,1,2,0,2013-12-17T14:00:00Z,51,Male
"Residence and Bus Stop in Sanford, Florida",6,4,2,Sanford,Florida,Open Space,1,0,0,0,2017-03-27T06:20:00Z,31,Male
Residence and Construction Site in Jonesboro Arkansas,6,4,2,Jonesboro,Arkansas,Residence,0,0,1,0,2014-05-03T13:00:00Z,40,Male
"Residence in Brooksville, Florida",5,2,3,Brooksville,Florida,Residence,0,0,1,0,2010-01-14T14:59:00Z,55,Male
Residence in Capitol Hill Neighborhood Seattle Washington,8,2,6,Seattle,Washington,Residence,1,1,1,0,2006-03-25T07:03:00Z,28,Male
Residence in Crandon Wisconsin,7,1,6,Crandon,Wisconsin,Residence,1,0,0,0,2007-10-07T02:45:00Z,20,Male
"Residence in Panama City Beach, Florida",7,7,0,Panama City Beach,Florida,Residence,0,0,1,0,2015-03-28T00:53:00Z,21,Male
Residence Latah County Courthouse and First Presbyterian Church,6,3,3,Moscow,Idaho,Government,2,0,0,0,2007-05-19T23:00:00Z,36,Male
Reynolds High School,2,1,1,Portland,Oregon,Education,1,0,1,0,2014-06-10T08:05:00Z,15,Male
"Reynolds, Smith and Hills",6,5,1,Orlando,Florida,Commerce,0,0,1,0,2009-11-06T11:44:00Z,40,Male
Rite Aid Perryman Distribution Center's Liberty Support Center,6,3,3,Aberdeen,Maryland,Commerce,0,0,1,0,2018-09-20T09:06:00Z,26,Female
Rocori High School,2,0,2,Cold Spring,Minnesota,Education,0,0,1,0,2003-09-24T11:35:00Z,15,Male
Route 91 Harvest Festival,547,489,58,Las Vegas,Nevada,Open Space,4,0,0,0,2017-10-01T22:08:00Z,64,Male
