Active Shooter Event,Active Shooter Casualties,Active Shooter Wounded,Active Shooter Killed,City,State,Location Type,Rifles,Shotguns,Handguns,Explosives,Date,Time ,Age of Shooter,Gender of Shooter
Pathmark Supermarket,2,0,2,Old Bridge,New Jersey,Commerce,1,0,1,0,8/31/2012,4:00:00 AM,23,Male
Pennsylvania Municipal Building,5,2,3,Saylorsburg,Pennsylvania,Government,1,0,1,0,8/5/2013,7:19:00 PM,59,Male
Penske Truck Rental,5,2,3,Kennesaw,Georgia,Commerce,0,0,2,0,1/12/2010,2:00:00 PM,60,Male
Perry Hall High School,1,1,0,Baltimore,Maryland,Education,0,1,0,0,8/27/2012,10:45:00 AM,15,Male
Pine Kirk Care Center,3,0,3,Kirkersville,Ohio,Health Care,0,1,1,0,5/12/2017,7:30:00 AM,43,Male
Pine Middle School,2,2,0,Reno,Nevada,Education,0,0,1,0,3/14/2006,9:00:00 AM,14,Male
Pinelake Health and Rehabilitiation Center,11,3,8,Carthage,North Carolina,Health Care,1,1,1,0,3/29/2009,10:00:00 AM,45,Male
Pinewood Village Apartments,4,0,4,Federal Way,Washington,Residence,0,1,1,0,4/21/2013,9:30:00 PM,27,Male
Planned Parenthood - Colorado Springs Westside Health Center,12,9,3,Colorado Springs,Colorado,Health Care,1,0,0,0,11/27/2015,11:38:00 AM,57,Male
Player's Bar and  Grill,4,2,2,Winnemucca,Nevada,Commerce,0,0,1,0,5/25/2008,2:25:00 AM,30,Male
Prince George's County Police Department District 3 Station,1,0,1,Landover,Maryland,Government,0,0,1,0,3/13/2016,4:30:00 PM,22,Male
Private Property near Meteor Wisconsin,8,2,6,Meteor,Wisconsin,Open Space,1,0,0,0,11/21/2004,12:00:00 PM,36,Male
Protest in Dallas Texas,16,11,5,Dallas,Texas,Open Space,2,0,1,0,7/7/2016,9:00:00 PM,25,Male
Publix Super Market,1,0,1,Tarpon Springs,Florida,Commerce,0,0,1,0,3/30/2010,12:00:00 PM,41,Female
Pulse Nightclub,102,53,49,Orlando,Florida,Commerce,1,0,1,0,6/12/2016,2:02:00 AM,29,Male
Radio Shack in Gateway Mall,3,1,2,St. Petersburg,Florida,Commerce,0,0,1,0,11/18/2004,6:45:00 PM,25,Male
"Rancho Tehama Elementary School and Multiple Locations in Tehama County, California",19,14,5,Rancho Tehama Reserve,California,Education,1,0,2,0,11/14/2017,7:53:00 AM,44,Male
Red Lake High School and Residence,15,6,9,Red Lake,Minnesota,Education,0,1,2,0,3/21/2005,2:49:00 PM,16,Male
Red Lion Junior High School,1,0,1,Red Lion,Pennsylvania,Education,0,0,3,0,4/24/2003,7:34:00 AM,14,Male
Renown Regional Medical Center,3,2,1,Reno,Nevada,Health Care,0,1,2,0,12/17/2013,2:00:00 PM,51,Male
"Residence and Bus Stop in Sanford, Florida",6,4,2,Sanford,Florida,Open Space,1,0,0,0,3/27/2017,6:20:00 AM,31,Male
Residence and Construction Site in Jonesboro Arkansas,6,4,2,Jonesboro,Arkansas,Residence,0,0,1,0,5/3/2014,1:00:00 PM,40,Male
"Residence in Brooksville, Florida",5,2,3,Brooksville,Florida,Residence,0,0,1,0,1/14/2010,2:59:00 PM,55,Male
Residence in Capitol Hill Neighborhood Seattle Washington,8,2,6,Seattle,Washington,Residence,1,1,1,0,3/25/2006,7:03:00 AM,28,Male
Residence in Crandon Wisconsin,7,1,6,Crandon,Wisconsin,Residence,1,0,0,0,10/7/2007,2:45:00 AM,20,Male
"Residence in Panama City Beach, Florida",7,7,0,Panama City Beach,Florida,Residence,0,0,1,0,3/28/2015,12:53:00 AM,21,Male
